epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11492.7,0.83032,1.42475,0.98836,0.89892,0.8942,0.92832,0.72969,0.70836,0.73246,0.92834,0.000256243,0.000256243,0.000256243
2,22858.3,0.71012,0.60662,0.92473,0.93948,0.92536,0.95759,0.74618,0.71632,0.52254,0.92852,0.000461831,0.000461831,0.000461831
3,34164.2,0.67669,0.49299,0.9144,0.93648,0.91027,0.94665,0.75092,0.71767,0.47689,0.93254,0.000616666,0.000616666,0.000616666
4,45415,0.64215,0.44352,0.90385,0.94717,0.92864,0.96075,0.77689,0.69924,0.45373,0.92964,0.000540607,0.000540607,0.000540607
5,56695.8,0.61145,0.40947,0.89076,0.91493,0.93491,0.9557,0.78802,0.65129,0.44633,0.91149,0.000464476,0.000464476,0.000464476
6,67988.1,0.59052,0.38498,0.88488,0.95845,0.91662,0.95902,0.78808,0.63628,0.41501,0.90656,0.000388345,0.000388345,0.000388345
7,79321.2,0.56859,0.36414,0.87429,0.95461,0.94282,0.96412,0.79699,0.64165,0.38807,0.91819,0.000312214,0.000312214,0.000312214
8,90614.7,0.54709,0.34339,0.86834,0.95374,0.92519,0.96341,0.80362,0.65245,0.4153,0.92645,0.000236083,0.000236083,0.000236083
9,101922,0.524,0.3288,0.8603,0.95387,0.91893,0.96468,0.79955,0.64986,0.4362,0.92141,0.000159952,0.000159952,0.000159952
10,113213,0.50321,0.31258,0.85309,0.9471,0.93059,0.96653,0.81108,0.62805,0.37821,0.91506,8.3821e-05,8.3821e-05,8.3821e-05
